episode,reward,total_throughput
1,-9851.0,61
2,-10090.0,68
3,-10104.0,64
4,-9889.0,70
5,-9813.0,66
6,-9416.0,71
7,-9820.0,63
8,-9574.0,72
9,-10373.0,59
10,-10228.0,69
11,-9705.0,75
12,-10640.0,66
13,-9861.0,69
14,-10302.0,65
15,-10120.0,62
16,-10497.0,59
17,-9325.0,74
18,-10264.0,71
19,-10687.0,65
20,-10306.0,62
21,-10725.0,57
22,-10060.0,69
23,-9069.0,73
24,-9336.0,68
25,-9253.0,67
26,-10226.0,59
27,-9235.0,74
28,-9846.0,58
29,-9742.0,70
30,-9140.0,82
31,-9648.0,69
32,-9057.0,74
33,-10222.0,63
34,-10738.0,62
35,-8989.0,76
36,-9180.0,72
37,-9278.0,65
38,-9808.0,68
39,-9544.0,60
40,-8534.0,71
41,-9748.0,68
42,-9501.0,63
43,-10094.0,62
44,-9441.0,73
45,-8894.0,76
46,-10302.0,58
47,-9999.0,63
48,-9240.0,70
49,-9079.0,76
50,-9114.0,65
51,-9631.0,69
52,-9777.0,67
53,-9363.0,70
54,-9537.0,67
55,-9222.0,71
56,-9981.0,57
57,-9868.0,52
58,-9002.0,69
59,-9296.0,60
60,-8784.0,70
61,-10121.0,55
62,-9252.0,69
63,-8096.0,79
64,-9330.0,64
65,-8385.0,73
66,-9247.0,68
67,-9662.0,66
68,-9087.0,58
69,-8215.0,75
70,-9568.0,61
71,-9274.0,63
72,-8849.0,69
73,-7476.0,79
74,-9362.0,61
75,-10043.0,63
76,-10746.0,56
77,-9643.0,61
78,-8478.0,70
79,-9483.0,63
80,-8624.0,77
81,-9631.0,67
82,-8993.0,61
83,-9165.0,65
84,-9432.0,65
85,-8781.0,72
86,-8464.0,68
87,-9381.0,62
88,-8728.0,72
89,-9275.0,61
90,-8616.0,70
91,-9949.0,58
92,-10077.0,58
93,-9178.0,60
94,-8936.0,64
95,-8829.0,69
96,-8897.0,66
97,-8865.0,69
98,-8387.0,64
99,-9282.0,63
100,-9037.0,65
101,-9383.0,61
102,-9000.0,63
103,-7209.0,76
104,-8492.0,64
105,-7148.0,77
106,-8444.0,76
107,-9873.0,58
108,-8895.0,71
109,-8537.0,72
110,-8263.0,70
111,-7640.0,76
112,-8763.0,66
113,-8044.0,65
114,-8634.0,61
115,-8542.0,71
116,-8573.0,73
117,-9654.0,60
118,-8007.0,70
119,-9708.0,69
120,-8449.0,68
121,-8568.0,62
122,-8916.0,60
123,-8326.0,74
124,-7897.0,67
125,-9175.0,68
126,-9375.0,62
127,-9148.0,66
128,-8260.0,70
129,-8607.0,74
130,-8267.0,72
131,-9017.0,71
132,-8816.0,66
133,-7479.0,69
134,-8187.0,68
135,-9421.0,61
136,-7655.0,73
137,-9824.0,55
138,-8156.0,65
139,-7828.0,65
140,-8055.0,73
141,-7546.0,80
142,-7748.0,72
143,-8370.0,73
144,-8978.0,65
145,-8595.0,78
146,-7910.0,75
147,-7439.0,69
148,-7580.0,73
149,-8437.0,59
150,-8783.0,64
151,-9329.0,67
152,-8397.0,65
153,-7599.0,66
154,-8638.0,61
155,-7710.0,71
156,-9202.0,60
157,-8396.0,69
158,-7758.0,70
159,-7328.0,80
160,-8685.0,74
161,-7862.0,71
162,-7376.0,76
163,-7045.0,73
164,-8481.0,61
165,-7618.0,73
166,-8158.0,70
167,-7838.0,70
168,-8644.0,64
169,-9357.0,64
170,-7423.0,69
171,-8134.0,70
172,-8699.0,59
173,-9087.0,62
174,-8264.0,74
175,-7871.0,74
176,-7601.0,69
177,-7199.0,72
178,-7789.0,70
179,-8298.0,61
180,-6778.0,75
181,-7037.0,73
182,-7801.0,74
183,-7905.0,73
184,-7462.0,68
185,-7352.0,72
186,-7711.0,70
187,-9291.0,61
188,-7430.0,71
189,-7328.0,67
190,-7704.0,65
191,-6961.0,70
192,-7108.0,73
193,-8024.0,65
194,-7045.0,70
195,-7567.0,65
196,-6798.0,74
197,-7579.0,66
198,-8132.0,62
199,-9760.0,55
200,-7651.0,69
201,-7596.0,72
202,-7093.0,70
203,-7728.0,68
204,-8726.0,55
205,-6023.0,75
206,-7133.0,71
207,-8089.0,67
208,-6937.0,73
209,-7822.0,63
210,-6814.0,64
211,-8016.0,60
212,-6223.0,70
213,-7683.0,59
214,-8389.0,61
215,-8368.0,64
216,-7468.0,75
217,-8559.0,63
218,-8753.0,59
219,-7925.0,66
220,-8953.0,61
221,-6463.0,79
222,-8355.0,64
223,-6792.0,74
224,-7636.0,70
225,-8029.0,71
226,-8025.0,61
227,-6072.0,74
228,-7203.0,70
229,-6108.0,75
230,-6837.0,72
231,-5820.0,78
232,-5375.0,80
233,-6938.0,66
234,-7048.0,60
235,-8639.0,61
236,-6380.0,76
237,-7450.0,67
238,-6151.0,72
239,-6527.0,73
240,-9050.0,53
241,-5341.0,73
242,-7803.0,63
243,-7496.0,71
244,-5612.0,74
245,-6575.0,68
246,-6633.0,68
247,-6270.0,65
248,-8643.0,64
249,-7154.0,66
250,-6975.0,63
251,-7720.0,61
252,-6521.0,68
253,-7581.0,68
254,-6326.0,67
255,-8202.0,65
256,-7306.0,59
257,-5903.0,72
258,-7082.0,68
259,-6560.0,70
260,-5981.0,71
261,-7056.0,68
262,-6783.0,69
263,-6998.0,55
264,-5638.0,74
265,-6420.0,63
266,-4587.0,76
267,-6092.0,67
268,-6418.0,65
269,-4453.0,76
270,-5717.0,74
271,-7199.0,59
272,-5644.0,68
273,-6845.0,64
274,-6949.0,68
275,-6694.0,67
276,-5811.0,70
277,-5313.0,76
278,-7850.0,57
279,-5892.0,68
280,-6523.0,70
281,-6312.0,69
282,-5867.0,73
283,-8732.0,58
284,-6917.0,72
285,-6148.0,56
286,-8762.0,56
287,-5978.0,61
288,-6084.0,65
289,-5737.0,68
290,-7281.0,56
291,-5770.0,61
292,-6228.0,59
293,-7717.0,58
294,-4179.0,79
295,-5329.0,67
296,-5160.0,68
297,-5604.0,62
298,-5557.0,69
299,-5545.0,66
300,-6393.0,66
301,-5083.0,64
302,-5410.0,64
303,-5661.0,62
304,-5201.0,63
305,-4999.0,65
306,-5207.0,60
307,-7219.0,55
308,-4548.0,71
309,-6293.0,63
310,-6774.0,60
311,-5711.0,56
312,-5918.0,64
313,-6006.0,63
314,-6369.0,57
315,-5798.0,61
316,-6470.0,58
317,-6683.0,56
318,-6122.0,61
319,-5604.0,62
320,-7588.0,53
321,-7326.0,55
322,-6530.0,67
323,-5960.0,62
324,-5710.0,68
325,-4386.0,72
326,-3869.0,72
327,-4911.0,70
328,-4645.0,65
329,-5580.0,60
330,-5493.0,55
331,-4440.0,65
332,-7536.0,57
333,-4570.0,68
334,-5715.0,61
335,-5961.0,70
336,-4734.0,63
337,-7661.0,53
338,-3259.0,78
339,-4790.0,70
340,-5553.0,63
341,-6949.0,59
342,-6139.0,67
343,-4833.0,62
344,-3973.0,70
345,-5821.0,58
346,-6003.0,56
347,-4350.0,61
348,-4443.0,74
349,-4941.0,66
350,-6360.0,68
351,-6434.0,54
352,-4442.0,71
353,-4958.0,66
354,-5794.0,55
355,-5775.0,64
356,-4442.0,63
357,-4930.0,67
358,-5376.0,64
359,-5511.0,63
360,-5734.0,63
361,-6892.0,60
362,-5073.0,58
363,-5025.0,62
364,-6867.0,49
365,-5510.0,60
366,-4217.0,66
367,-6233.0,56
368,-6536.0,60
369,-4407.0,78
370,-4363.0,63
371,-3391.0,76
372,-5974.0,57
373,-6083.0,54
374,-4589.0,59
375,-4493.0,65
376,-4758.0,59
377,-3642.0,75
378,-6458.0,54
379,-5025.0,66
380,-5970.0,55
381,-5283.0,57
382,-4700.0,62
383,-5583.0,52
384,-4854.0,57
385,-3280.0,67
386,-5594.0,63
387,-5334.0,70
388,-5670.0,55
389,-4348.0,74
390,-5766.0,51
391,-6203.0,55
392,-3299.0,80
393,-4950.0,67
394,-4797.0,59
395,-4090.0,65
396,-6315.0,52
397,-6587.0,56
398,-4856.0,59
399,-6902.0,51
400,-5531.0,57
401,-5795.0,56
402,-5474.0,59
403,-6458.0,53
404,-5866.0,54
405,-4572.0,65
406,-4400.0,67
407,-4510.0,63
408,-2773.0,73
409,-6076.0,60
410,-3362.0,70
411,-4629.0,67
412,-4023.0,65
413,-4838.0,55
414,-5115.0,68
415,-5164.0,64
416,-4196.0,62
417,-5504.0,55
418,-5827.0,56
419,-3630.0,77
420,-5604.0,58
421,-3274.0,68
422,-4987.0,56
423,-5240.0,52
424,-4804.0,63
425,-4343.0,66
426,-5841.0,52
427,-4616.0,66
428,-6137.0,57
429,-6333.0,53
430,-3692.0,73
431,-4722.0,63
432,-4977.0,61
433,-5248.0,64
434,-5529.0,64
435,-3168.0,70
436,-4229.0,65
437,-3906.0,70
438,-4790.0,60
439,-4095.0,67
440,-3086.0,74
441,-3707.0,71
442,-4338.0,59
443,-4276.0,68
444,-4391.0,65
445,-3706.0,66
446,-4249.0,65
447,-4579.0,62
448,-5058.0,63
449,-3833.0,69
450,-3813.0,66
451,-3059.0,74
452,-4653.0,57
453,-6824.0,46
454,-3114.0,68
455,-4001.0,71
456,-2844.0,75
457,-4055.0,72
458,-5149.0,59
459,-4121.0,66
460,-4972.0,62
461,-5867.0,56
462,-5864.0,57
463,-6020.0,60
464,-4016.0,67
465,-4583.0,66
466,-3588.0,72
467,-5229.0,60
468,-5338.0,58
469,-3404.0,72
470,-5955.0,55
471,-5761.0,64
472,-4964.0,53
473,-5397.0,57
474,-5412.0,49
475,-4135.0,71
476,-4668.0,68
477,-5563.0,61
478,-3778.0,72
479,-4279.0,71
480,-3598.0,74
481,-4400.0,63
482,-6330.0,52
483,-5308.0,59
484,-5371.0,59
485,-3884.0,65
486,-4240.0,64
487,-4372.0,63
488,-4464.0,72
489,-4335.0,70
490,-4940.0,64
491,-2630.0,80
492,-4223.0,57
493,-4397.0,67
494,-2564.0,77
495,-3515.0,70
496,-4866.0,62
497,-4142.0,67
498,-5503.0,54
499,-4849.0,67
500,-2394.0,80
